Year,Location,Plant_Date,County,Date,LocMinTempF,LocMaxTempF,CIMIS,StatMinTempF,StatMaxTempF,HeadM105,HeadM206,HeadM209,HeadM210,HeadM211,HeadM401,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-29,66.4,98.1,Verona235,58.3,96.7,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-30,66.5,92.4,Verona235,60.6,95.5,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-31,62.5,88.0,Verona235,58.0,91.1,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-01,59.6,86.8,Verona235,55.6,89.6,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-02,58.1,91.9,Verona235,50.8,91.8,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-03,61.8,94.1,Verona235,55.1,96.4,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-04,57.8,83.3,Verona235,53.9,82.7,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-05,55.0,82.2,Verona235,52.1,83.2,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-06,58.4,84.1,Verona235,53.2,86.3,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-07,56.2,89.6,Verona235,53.1,87.2,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-08,57.6,87.5,Verona235,49.0,89.1,Heading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-09,57.6,92.1,Verona235,52.0,95.8,Heading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-10,58.2,90.2,Verona235,56.0,91.7,Heading,Heading,preHeading,Heading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-11,59.2,91.0,Verona235,53.0,91.7,Heading,Heading,preHeading,Heading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-12,60.1,96.9,Verona235,56.5,94.2,Heading,Heading,preHeading,Heading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-13,60.7,97.2,Verona235,54.2,97.4,Heading,Heading,preHeading,Heading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-14,60.4,97.2,Verona235,55.9,95.9,Heading,Heading,preHeading,Heading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-15,59.9,92.8,Verona235,52.4,92.4,Heading,Heading,preHeading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-16,60.2,91.3,Verona235,54.2,91.8,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
